id,date,id_day,negative,positive,sentiment
247,2022-07-08,1,8,20,12
248,2022-07-09,1,0,12,12
249,2022-07-09,2,2,10,8
250,2022-07-10,1,2,8,6
251,2022-07-11,1,3,10,7
252,2022-07-12,1,3,24,21
253,2022-07-13,1,8,5,-3
254,2022-07-13,2,4,14,10
255,2022-07-14,1,18,12,-6
256,2022-07-14,2,4,7,3
257,2022-07-15,1,2,5,3
258,2022-07-16,1,8,13,5
259,2022-07-17,1,7,8,1
260,2022-07-18,1,8,9,1
261,2022-07-19,1,5,18,13
262,2022-07-20,1,6,17,11
263,2022-07-21,1,17,13,-4
264,2022-07-22,1,3,13,10
265,2022-07-23,1,2,11,9
266,2022-07-23,2,2,12,10
267,2022-07-24,1,5,17,12
268,2022-07-25,1,0,11,11
269,2022-07-26,1,2,21,19
270,2022-07-26,2,2,12,10
271,2022-07-27,1,2,15,13
272,2022-07-28,1,2,14,12
273,2022-07-28,2,6,44,38
274,2022-07-28,3,3,22,19
275,2022-07-29,1,11,9,-2
276,2022-07-30,1,2,6,4
277,2022-07-31,1,4,16,12
278,2022-08-01,1,4,15,11
279,2022-08-02,1,3,14,11
280,2022-08-03,1,2,6,4
281,2022-08-03,2,4,19,15
282,2022-08-04,1,6,4,-2
283,2022-08-05,1,2,8,6
284,2022-08-06,1,6,11,5
285,2022-08-07,1,4,10,6
286,2022-08-08,1,8,11,3
287,2022-08-09,1,1,19,18
288,2022-08-10,1,4,11,7
289,2022-08-11,1,5,11,6
290,2022-08-11,2,1,12,11
291,2022-08-12,1,2,17,15
292,2022-08-13,1,3,10,7
293,2022-08-14,1,2,13,11
294,2022-08-15,1,5,7,2
295,2022-08-16,1,11,20,9
296,2022-08-17,1,15,3,-12
297,2022-08-17,2,2,21,19
298,2022-08-18,1,3,12,9
299,2022-08-19,1,4,12,8
300,2022-08-20,1,5,25,20
301,2022-08-22,1,6,8,2
302,2022-08-22,2,2,15,13
303,2022-08-23,1,20,23,3
304,2022-08-23,2,3,32,29
305,2022-08-24,1,17,27,10
306,2022-08-24,2,14,16,2
307,2022-08-24,3,2,10,8
308,2022-08-25,1,11,9,-2
309,2022-08-26,1,5,16,11
310,2022-08-27,1,5,34,29
311,2022-08-28,1,2,12,10
312,2022-08-29,1,7,7,0
313,2022-08-29,2,15,20,5
314,2022-08-29,3,13,17,4
315,2022-08-29,4,1,8,7
316,2022-08-30,1,3,6,3
317,2022-08-31,1,14,16,2
318,2022-08-31,2,0,7,7
319,2022-09-01,1,5,4,-1
320,2022-09-01,2,3,20,17
321,2022-09-01,3,0,4,4
322,2022-09-01,4,6,17,11
323,2022-09-02,1,7,21,14
324,2022-09-02,2,0,19,19
325,2022-09-03,1,6,6,0
326,2022-09-04,1,6,13,7
327,2022-09-05,1,8,22,14
328,2022-09-06,1,9,25,16
329,2022-09-06,2,4,24,20
330,2022-09-07,1,6,26,20
331,2022-09-08,1,7,18,11
332,2022-09-09,1,3,7,4
333,2022-09-10,1,2,21,19
334,2022-09-10,2,10,25,15
335,2022-09-11,1,13,26,13
336,2022-09-12,1,8,7,-1
337,2022-09-13,1,2,14,12
338,2022-09-15,1,9,9,0
339,2022-09-15,2,5,20,15
340,2022-09-16,1,3,11,8
341,2022-09-17,1,6,13,7
342,2022-09-18,1,0,10,10
343,2022-09-19,1,4,20,16
344,2022-09-21,1,5,22,17
345,2022-09-21,2,3,10,7
346,2022-09-22,1,18,17,-1
347,2022-09-22,2,6,24,18
348,2022-09-23,1,8,17,9
349,2022-09-23,2,4,13,9
350,2022-09-23,3,8,31,23
351,2022-09-24,1,6,12,6
352,2022-09-25,1,8,17,9
353,2022-09-26,1,1,15,14
354,2022-09-27,1,6,6,0
355,2022-09-27,2,3,15,12
356,2022-09-28,1,4,13,9
357,2022-09-28,2,3,10,7
358,2022-09-28,3,0,9,9
359,2022-09-29,1,12,3,-9
360,2022-09-29,2,3,8,5
361,2022-09-30,1,15,16,1
362,2022-09-30,2,7,17,10
363,2022-10-01,1,4,13,9
364,2022-10-02,1,2,25,23
365,2022-10-03,1,9,15,6
366,2022-10-04,1,2,15,13
367,2022-10-05,1,18,12,-6
368,2022-10-05,2,3,19,16
369,2022-10-06,1,12,15,3
370,2022-10-06,2,10,12,2
371,2022-10-06,3,12,21,9
372,2022-10-06,4,8,15,7
373,2022-10-07,1,3,6,3
374,2022-10-07,2,1,29,28
375,2022-10-08,1,2,16,14
376,2022-10-08,2,2,20,18
377,2022-10-09,1,4,12,8
378,2022-10-10,1,4,3,-1
379,2022-10-10,2,3,14,11
380,2022-10-11,1,10,18,8
381,2022-10-11,2,6,16,10
382,2022-10-11,3,8,13,5
383,2022-10-12,1,3,14,11
384,2022-10-12,2,9,25,16
385,2022-10-13,1,7,28,21
386,2022-10-13,2,2,19,17
387,2022-10-14,1,18,44,26
388,2022-10-14,2,5,14,9
389,2022-10-15,1,4,9,5
390,2022-10-16,1,3,11,8
391,2022-10-17,1,1,14,13
392,2022-10-18,1,4,15,11
393,2022-10-19,1,2,17,15
394,2022-10-20,1,15,17,2
395,2022-10-20,2,11,17,6
396,2022-10-21,1,4,4,0
397,2022-10-21,2,4,14,10
398,2022-10-22,1,5,19,14
399,2022-10-23,1,5,10,5
400,2022-10-24,1,10,13,3
401,2022-10-24,2,9,22,13
402,2022-10-25,1,10,38,28
403,2022-10-25,2,5,19,14
404,2022-10-25,3,1,19,18
405,2022-10-26,1,6,10,4
406,2022-10-28,1,12,13,1
407,2022-10-28,2,1,15,14
408,2022-10-29,1,19,31,12
409,2022-10-29,2,1,7,6
410,2022-10-30,1,1,12,11
411,2022-10-31,1,11,20,9
412,2022-10-31,2,10,15,5
413,2022-11-01,1,5,10,5
414,2022-11-02,1,5,24,19
415,2022-11-03,1,11,12,1
416,2022-11-04,1,1,17,16
417,2022-11-05,1,3,11,8
418,2022-11-06,1,1,6,5
419,2022-11-07,1,0,16,16
420,2022-11-08,1,3,18,15
421,2022-11-08,2,1,0,-1
422,2022-11-08,3,0,16,16
423,2022-11-09,1,5,12,7
424,2022-11-10,1,6,15,9
425,2022-11-11,1,1,8,7
426,2022-11-11,2,9,14,5
427,2022-11-12,1,1,20,19
428,2022-11-13,1,1,7,6
429,2022-11-14,1,2,24,22
430,2022-11-15,1,16,17,1
431,2022-11-15,2,6,5,-1
432,2022-11-16,1,3,10,7
433,2022-11-16,2,3,9,6
434,2022-11-17,1,5,24,19
435,2022-11-17,2,7,18,11
436,2022-11-18,1,0,5,5
437,2022-11-18,2,1,17,16
438,2022-11-19,1,1,8,7
439,2022-11-19,2,0,10,10
440,2022-11-20,1,3,13,10
441,2022-11-20,2,0,26,26
442,2022-11-21,1,5,32,27
443,2022-11-21,2,8,28,20
444,2022-11-21,3,7,38,31
445,2022-11-22,1,5,15,10
446,2022-11-22,2,2,12,10
447,2022-11-24,1,4,10,6
448,2022-11-24,2,0,4,4
449,2022-11-24,3,4,13,9
450,2022-11-24,4,4,15,11
451,2022-11-25,1,11,20,9
452,2022-11-25,2,1,11,10
453,2022-11-26,1,12,9,-3
454,2022-11-26,2,3,14,11
455,2022-11-27,1,0,12,12
456,2022-11-28,1,12,17,5
457,2022-11-29,1,4,16,12
458,2022-11-29,2,6,8,2
459,2022-11-30,1,2,17,15
460,2022-12-01,1,8,29,21
461,2022-12-02,1,10,15,5
462,2022-12-03,1,0,24,24
463,2022-12-04,1,0,21,21
464,2022-12-05,1,2,16,14
465,2022-12-05,2,2,14,12
466,2022-12-06,1,3,27,24
467,2022-12-07,1,3,6,3
468,2022-12-07,2,4,11,7
469,2022-12-07,3,9,11,2
470,2022-12-08,1,1,12,11
471,2022-12-08,2,1,9,8
472,2022-12-09,1,3,14,11
473,2022-12-09,2,8,18,10
474,2022-12-09,3,13,22,9
475,2022-12-09,4,5,19,14
476,2022-12-10,1,1,15,14
477,2022-12-11,1,1,8,7
478,2022-12-12,1,10,33,23
479,2022-12-12,2,2,12,10
480,2022-12-13,1,7,17,10
481,2022-12-13,2,1,26,25
482,2022-12-13,3,0,19,19
483,2022-12-13,4,8,21,13
484,2022-12-14,1,19,21,2
485,2022-12-14,2,2,29,27
486,2022-12-15,1,16,28,12
487,2022-12-15,2,0,11,11
488,2022-12-16,1,0,6,6
489,2022-12-17,1,1,15,14
490,2022-12-18,1,4,15,11
491,2022-12-19,1,7,25,18
