id,date,id_day,time,n
280,2022-08-03,1,13H 59M 0S,1192
281,2022-08-03,2,22H 43M 0S,817
282,2022-08-04,1,22H 38M 0S,779
283,2022-08-05,1,22H 43M 0S,835
284,2022-08-06,1,22H 47M 0S,865
285,2022-08-07,1,21H 7M 0S,627
286,2022-08-08,1,22H 57M 0S,924
287,2022-08-09,1,23H 11M 0S,725
288,2022-08-10,1,22H 34M 0S,763
289,2022-08-11,1,14H 8M 0S,1560
290,2022-08-11,2,22H 52M 0S,832
291,2022-08-12,1,23H 19M 0S,725
292,2022-08-13,1,21H 56M 0S,767
293,2022-08-14,1,22H 11M 0S,582
294,2022-08-15,1,22H 52M 0S,873
295,2022-08-16,1,22H 9M 0S,851
296,2022-08-17,1,21H 33M 0S,1387
297,2022-08-17,2,21H 41M 0S,584
298,2022-08-18,1,21H 6M 0S,826
299,2022-08-19,1,22H 43M 0S,612
300,2022-08-20,1,21H 22M 0S,647
301,2022-08-22,1,45M 0S,544
302,2022-08-22,2,21H 57M 0S,828
303,2022-08-23,1,17H 5M 0S,2153
304,2022-08-23,2,20H 49M 0S,1077
305,2022-08-24,1,9H 7M 0S,1343
306,2022-08-24,2,21H 21M 0S,1400
307,2022-08-24,3,23H 29M 0S,283
308,2022-08-25,1,22H 18M 0S,1009
309,2022-08-26,1,22H 36M 0S,830
310,2022-08-27,1,22H 5M 0S,653
311,2022-08-28,1,21H 47M 0S,464
312,2022-08-29,1,15H 49M 0S,1816
313,2022-08-29,2,17H 39M 0S,1521
314,2022-08-29,3,21H 12M 0S,1507
315,2022-08-29,4,22H 47M 0S,619
316,2022-08-30,1,22H 3M 0S,911
317,2022-08-31,1,20H 17M 0S,1743
318,2022-08-31,2,23H 0M 0S,661
319,2022-09-01,1,25M 0S,477
320,2022-09-01,2,8H 1M 0S,908
321,2022-09-01,3,10H 3M 0S,327
322,2022-09-01,4,22H 27M 0S,1168
323,2022-09-02,1,12H 26M 0S,1849
324,2022-09-02,2,21H 50M 0S,564
325,2022-09-03,1,21H 20M 0S,572
326,2022-09-04,1,22H 20M 0S,850
327,2022-09-05,1,22H 10M 0S,865
328,2022-09-06,1,19H 48M 0S,1488
329,2022-09-06,2,23H 27M 0S,1307
330,2022-09-07,1,22H 33M 0S,1409
331,2022-09-08,1,22H 11M 0S,935
332,2022-09-09,1,22H 18M 0S,1008
333,2022-09-10,1,21H 34M 0S,943
334,2022-09-10,2,22H 32M 0S,1973
335,2022-09-11,1,22H 10M 0S,1630
336,2022-09-12,1,23H 0M 0S,1098
337,2022-09-13,1,22H 10M 0S,745
338,2022-09-15,1,2H 10M 0S,1044
339,2022-09-15,2,23H 39M 0S,1154
340,2022-09-16,1,22H 38M 0S,794
341,2022-09-17,1,21H 44M 0S,628
342,2022-09-18,1,21H 30M 0S,419
343,2022-09-19,1,20H 5M 0S,625
344,2022-09-21,1,29M 0S,778
345,2022-09-21,2,2H 19M 0S,774
346,2022-09-22,1,2H 12M 0S,2960
347,2022-09-22,2,22H 0M 0S,990
348,2022-09-23,1,10H 2M 0S,1445
349,2022-09-23,2,14H 46M 0S,445
350,2022-09-23,3,23H 14M 0S,1660
351,2022-09-24,1,21H 59M 0S,913
352,2022-09-25,1,23H 25M 0S,907
353,2022-09-26,1,22H 41M 0S,791
354,2022-09-27,1,23H 22M 0S,920
355,2022-09-27,2,23H 56M 0S,652
356,2022-09-28,1,9H 37M 0S,1863
357,2022-09-28,2,22H 52M 0S,1068
358,2022-09-28,3,23H 10M 0S,733
359,2022-09-29,1,20H 21M 0S,1025
360,2022-09-29,2,22H 6M 0S,863
361,2022-09-30,1,17H 2M 0S,861
362,2022-09-30,2,21H 43M 0S,826
363,2022-10-01,1,21H 28M 0S,717
364,2022-10-02,1,23H 3M 0S,1075
365,2022-10-03,1,23H 44M 0S,938
366,2022-10-04,1,22H 44M 0S,708
367,2022-10-05,1,9H 51M 0S,1459
368,2022-10-05,2,22H 49M 0S,1001
369,2022-10-06,1,8H 31M 0S,988
370,2022-10-06,2,13H 42M 0S,1553
371,2022-10-06,3,17H 5M 0S,1285
372,2022-10-06,4,22H 27M 0S,922
373,2022-10-07,1,14H 44M 0S,1530
374,2022-10-07,2,21H 26M 0S,599
375,2022-10-08,1,15H 27M 0S,1081
376,2022-10-08,2,21H 25M 0S,613
377,2022-10-09,1,22H 14M 0S,755
378,2022-10-10,1,11H 9M 0S,215
379,2022-10-10,2,21H 46M 0S,1143
380,2022-10-11,1,17H 3M 0S,1477
381,2022-10-11,2,20H 15M 0S,1036
382,2022-10-11,3,21H 29M 0S,880
383,2022-10-12,1,22H 21M 0S,692
384,2022-10-12,2,22H 49M 0S,880
385,2022-10-13,1,16H 15M 0S,1379
386,2022-10-13,2,22H 39M 0S,989
387,2022-10-14,1,9H 4M 0S,1363
388,2022-10-14,2,23H 12M 0S,683
389,2022-10-15,1,21H 5M 0S,678
390,2022-10-16,1,22H 27M 0S,1007
391,2022-10-17,1,22H 27M 0S,874
392,2022-10-18,1,22H 16M 0S,792
393,2022-10-19,1,23H 6M 0S,818
394,2022-10-20,1,20H 6M 0S,1748
395,2022-10-20,2,22H 39M 0S,1001
396,2022-10-21,1,16H 39M 0S,760
397,2022-10-21,2,20H 27M 0S,891
398,2022-10-22,1,22H 10M 0S,899
399,2022-10-23,1,20H 53M 0S,773
400,2022-10-24,1,17H 46M 0S,1247
401,2022-10-24,2,22H 3M 0S,867
402,2022-10-25,1,13H 14M 0S,1604
403,2022-10-25,2,13H 36M 0S,1326
404,2022-10-25,3,22H 46M 0S,690
405,2022-10-26,1,22H 39M 0S,898
406,2022-10-28,1,2M 0S,1078
407,2022-10-28,2,21H 15M 0S,795
408,2022-10-29,1,11H 58M 0S,1284
409,2022-10-29,2,21H 37M 0S,989
410,2022-10-30,1,22H 48M 0S,912
411,2022-10-31,1,21H 2M 0S,719
412,2022-10-31,2,22H 36M 0S,932
413,2022-11-01,1,22H 47M 0S,887
414,2022-11-02,1,23H 4M 0S,835
415,2022-11-03,1,22H 41M 0S,1371
416,2022-11-04,1,22H 7M 0S,1055
417,2022-11-05,1,19H 6M 0S,918
418,2022-11-06,1,21H 22M 0S,663
419,2022-11-07,1,22H 25M 0S,799
420,2022-11-08,1,12H 45M 0S,871
421,2022-11-08,2,19H 44M 0S,867
422,2022-11-08,3,23H 3M 0S,1000
423,2022-11-09,1,22H 44M 0S,763
424,2022-11-10,1,22H 9M 0S,877
