docname,pre,keyword,post,id,date,id_day
text159,"phrase . we have resolved this dispute - this is the will of the ukrainian and polish nations . ,",thank you,"brothers ! , together until the end . , niech żyje polska ! , glory to ukraine !",159,2022-05-22,1
text161,"acted preventively . , so , now we can do it differently . finally in the right way . ,",thank you,"! , glory to ukraine !",161,2022-05-23,1
text165,", dear mrs . speaker , mrs . ināra ! , first of all ,",thank you,"for such kind words , thank you for your arrival , thank you for this support . , dear mr",165,2022-05-26,1
text165,"mrs . speaker , mrs . ināra ! , first of all , thank you for such kind words ,",thank you,"for your arrival , thank you for this support . , dear mr . prime minister ! , dear deputies",165,2022-05-26,1
text165,"ināra ! , first of all , thank you for such kind words , thank you for your arrival ,",thank you,"for this support . , dear mr . prime minister ! , dear deputies of the saeima ! , dear",165,2022-05-26,1
text165,"people ! , i am glad to have the opportunity to address you today and , above all , to",thank you,for all the help that ukraine has received from the republic of latvia and from many ordinary citizens of latvia,165,2022-05-26,1
text167,", ladies and gentlemen . ,",thank you,"for the opportunity to contact you today and for the upcoming communication . , i hope that this conversation will",167,2022-05-27,1
text167,"of ukraine and for the wisdom of the world to be enough to save humanity from existing threats . ,",thank you,"for your attention ! , glory to ukraine !",167,2022-05-27,1
text168,"take care of yourself , your family , loved ones , friends . take care of the world . ,",thank you,", america ! , glory to ukraine !",168,2022-05-27,2
text172,"does not need to hold such summits and seek compromises for weeks . by the way , i want to",thank you,"for talking about these compromises , for striving to find help and support for ukraine . , so , they",172,2022-05-30,1
text172,"we must immediately find a solution that will prevent the food crisis from unfolding . , of course , i",thank you,"for your efforts together with partners to create green corridors for agricultural exports from ukraine . but still , you",172,2022-05-30,1
text172,to the countries of the western balkans for their understanding and support for granting candidate status to our country .,thank you,"very much . , on april 8 , when the fifth sanctions package was approved , we also received a",172,2022-05-30,1
text172,"the strength of your nations , the strength of your states and a united europe . , i want to",thank you,"for your unity , ability to be united , energetic , to have a future in a strong european union",172,2022-05-30,1
text172,"just a question of the aggressor's responsibility for a particular war , but of protecting humanity as such . ,",thank you,"for your attention . , glory to ukraine !",172,2022-05-30,1
text176,"dear ladies and gentlemen , members of the government , everyone present ! , dear people of luxembourg ! ,",thank you,"for the opportunity to contact you . , your state has a wise and extremely relevant motto : "" we",176,2022-06-02,2
text176,"i am grateful to you for the fact that the grand duchy is truly defending freedom with us . ,",thank you,"all ! , thank you luxembourg ! , glory to ukraine !",176,2022-06-02,2
text176,"for the fact that the grand duchy is truly defending freedom with us . , thank you all ! ,",thank you,"luxembourg ! , glory to ukraine !",176,2022-06-02,2
text177,", good afternoon ! ,",thank you,"very much for this opportunity ! , mrs . president čaputová ! , mrs . president von der leyen !",177,2022-06-02,3
text177,"der leyen ! , mr . prime minister heger ! , ladies and gentlemen ! , dear friends ! ,",thank you,"for the honor of speaking to you today . , this year , for the first time in its history",177,2022-06-02,3
text180,"more . participate in the reconstruction of our cities , our communities that are liberated from the occupiers . ,",thank you,"very much for your attention . , glory to ukraine !",180,2022-06-04,1
text181,"the history of ukraine , the history of defending freedom and democracy . , please join united24 today . ,",thank you,", everyone ! , glory to ukraine !",181,2022-06-04,2
text183,"took mantas ' life , russia's war against ukraine , must end . end as soon as possible . ,",thank you,"! , glory to ukraine ! , info . the lithuanian national film award sidabrinė gervė was held under the",183,2022-06-05,1
text187,", ladies and gentlemen ! ,",thank you,"for the invitation ! , glad to be able to address you today . i know that business people will",187,2022-06-08,1
text189,", ladies and gentlemen ! , greetings from ukraine ! , and",thank you,"for the opportunity to address you . , when i learnt that i was named the most influential person of",189,2022-06-09,1
text189,"are up to it , then we must do it . because influence obliges us to do so . ,",thank you,"! , glory to ukraine !",189,2022-06-09,1
text190,"you in our kyiv office - in the kyiv office of the organization for economic cooperation and development . ,",thank you,"for your attention ! , glory to ukraine !",190,2022-06-09,2
text192,", dear mr . rasmussen ! , dear attendees ! , dear ladies and gentlemen ! ,",thank you,"for the opportunity to address you . , last year , at the fourth copenhagen democracy summit , the question",192,2022-06-10,1
text192,", europe . and above all in the minds of leaders who must act , not just speak . ,",thank you,"for your attention . , glory to ukraine !",192,2022-06-10,1
text195,", dear participants of the shangri-la dialogue forum ! , ladies and gentlemen ! , mr . director ! ,",thank you,"for the honor of speaking to you today . , when i was preparing for this meeting with you -",195,2022-06-11,2
text195,"force , and individuals and any of their ideas , like many nations , simply did not matter . ,",thank you,"! , glory to ukraine !",195,2022-06-11,2
text199,"ukraine and in various european countries who deserve to live in security and peace . to just live . ,",thank you,"for your support ! , glory to ukraine !",199,2022-06-13,1
text202,"parliament , attendees , journalists ! , dear czech people ! , first of all , i would like to",thank you,for this opportunity to address both houses of the parliament of the czech republic and absolutely all czechs in this,202,2022-06-15,1
text202,"the parliament of the czech republic and absolutely all czechs in this format today . , i would like to",thank you,"for those warm words , strong words of support for our people , me personally , our state , which",202,2022-06-15,1
text208,"thank all our doctors , all ukrainian nurses , who have been literally on the frontline since february 24 .",thank you,"for the tens of thousands of second birthdays you gave to our military , our civilians , our ukrainian children",208,2022-06-19,2
text208,"the tens of thousands of second birthdays you gave to our military , our civilians , our ukrainian children .",thank you,"for saving lives on the front , in hospitals across our country . , ukrainian doctors are countless examples of",208,2022-06-19,2
text209,",",thank you,"so much , mr . president ! , thank you for all the kind words in support of ukraine !",209,2022-06-20,1
text209,", thank you so much , mr . president ! ,",thank you,"for all the kind words in support of ukraine ! for what has just been said , for what you",209,2022-06-20,1
text209,"will allow us to participate in the activities of your initiative . , i believe it is possible ! ,",thank you,"! , glory to ukraine !",209,2022-06-20,1
text210,"of the african union commission , , distinguished heads of state and government , , ladies and gentlemen ! ,",thank you,"for this opportunity to address you . address you in a state of emergency , when we have a war",210,2022-06-20,2
text210,"is over ! people have the right to just live , just live and have everything for life . ,",thank you,"very much for this opportunity to address you ! , thank you very much for your attention ! , glory",210,2022-06-20,2
text210,"live and have everything for life . , thank you very much for this opportunity to address you ! ,",thank you,"very much for your attention ! , glory to ukraine !",210,2022-06-20,2
text211,",",thank you,"very much ! , first of all , i would like to thank mr . giampiero massolo . , i",211,2022-06-20,3
text211,", first of all , i would like to thank mr . giampiero massolo . , i would like to",thank you,", dear mr . mario monti , for inviting me . just before i start , i would like to",211,2022-06-20,3
text211,", dear mr . mario monti , for inviting me . just before i start , i would like to",thank you,"for our students , for finding opportunities , for finding programs , for helping ukrainians , temporarily displaced persons ,",211,2022-06-20,3
text211,"and therefore we really want them to return to our homeland after receiving your warmth , knowledge , experience .",thank you,"again for saving our future , our students . , now i would like to address all the participants of",211,2022-06-20,3
text211,"weapons for ukraine , financial support and reconstruction of our state . three elements that can change everything . ,",thank you,"for your attention ! , glory to ukraine !",211,2022-06-20,3
text212,"law has been rejected several times due to oligarchic influence , and now it has been passed . finally .",thank you,". , the anticorruption strategy was approved today . this is also very important . i hope that the rada",212,2022-06-21,1
text213,"in our victory as soon as possible . , your every success will mean saving thousands of lives . ,",thank you,"! , glory to ukraine !",213,2022-06-21,2
text215,"because we all stand together to protect it ! , i am grateful to all those who support us .",thank you,"for this sincerity , amsterdam ! looking forward to a positive european decision for ukraine ! , embrace ukraine ,",215,2022-06-22,1
text216,"and how we will cover the path to them - i think we will discuss that today here . ,",thank you,"very much for the opportunity . thank you for the meeting . thank you for your support , canada .",216,2022-06-22,2
text216,"them - i think we will discuss that today here . , thank you very much for the opportunity .",thank you,"for the meeting . thank you for your support , canada . , glory to ukraine !",216,2022-06-22,2
text216,"discuss that today here . , thank you very much for the opportunity . thank you for the meeting .",thank you,"for your support , canada . , glory to ukraine !",216,2022-06-22,2
text218,"unfortunately , we have not yet seen israel join the sanctions regime . , however , i would like to",thank you,"for the medications you sent to our country . unfortunately , i have nothing to say about most of the",218,2022-06-23,2
text218,"great respect for the history of israel , for the people of israel , for all of you . ,",thank you,"! , glory to ukraine !",218,2022-06-23,2
text219,"our people feel , and in the same order as it was then . , lithuania stands for us .",thank you,", mr . president ! gitanas , you know how grateful ukraine is to your people and to you personally",219,2022-06-23,3
text219,"you know how grateful ukraine is to your people and to you personally . , latvia stands for us .",thank you,", mr . prime minister ! i believe that together we will be able to strengthen the international legal order",219,2022-06-23,3
text219,"believe that together we will be able to strengthen the international legal order . , estonia stands for us .",thank you,", mrs . prime minister kallas ! by helping one , we help everyone . estonia has done a lot",219,2022-06-23,3
text219,"by helping one , we help everyone . estonia has done a lot . , poland stands for us .",thank you,", mr . prime minister ! your state , your people , your president - all of you on this",219,2022-06-23,3
text219,"all of you on this path to europe are truly brothers with us . , france stands for us .",thank you,", emmanuel ! you can be sure that with ukraine , europe will really be able to be among the",219,2022-06-23,3
text219,"really be able to be among the global leaders in the xxi century . , slovenia stands for us .",thank you,", mr . prime minister ! i am grateful for the unwavering protection of the common european cause . ,",219,2022-06-23,3
text219,"! i am grateful for the unwavering protection of the common european cause . , slovakia stands for us .",thank you,", mr . prime minister ! we have to continue to protect each other , it makes us really strong",219,2022-06-23,3
text219,"continue to protect each other , it makes us really strong . , the czech republic stands for us .",thank you,", mr . prime minister ! i believe that we will also be together on the path to ukraine's full",219,2022-06-23,3
text219,"also be together on the path to ukraine's full membership in the eu . , romania stands for us .",thank you,", mr . president ! klaus , our cooperation in the region and in european structures can indeed become one",219,2022-06-23,3
text219,"in european structures can indeed become one of the foundations of global stability . , bulgaria stands for us .",thank you,", mr . prime minister ! thank you for choosing the side of good in the confrontation that began on",219,2022-06-23,3
text219,"the foundations of global stability . , bulgaria stands for us . thank you , mr . prime minister !",thank you,for choosing the side of good in the confrontation that began on february 24 without hesitation . we know it's,219,2022-06-23,3
text219,"on february 24 without hesitation . we know it's not easy for you . , greece stands for us .",thank you,", mr . prime minister ! and i’m personally thankful to the greek people , your country , which i",219,2022-06-23,3
text219,"thankful to the greek people , your country , which i really love . , germany stands for us .",thank you,", olaf ! thank you for your support at a crucial moment . , portugal stands for us . thank",219,2022-06-23,3
text219,", your country , which i really love . , germany stands for us . thank you , olaf !",thank you,"for your support at a crucial moment . , portugal stands for us . thank you , mr . prime",219,2022-06-23,3
text219,"you , olaf ! thank you for your support at a crucial moment . , portugal stands for us .",thank you,", mr . prime minister ! your country knows our people well . and i am sure that we will",219,2022-06-23,3
text219,"and i am sure that we will only increase positive ties between us . , croatia stands for us .",thank you,", mr . prime minister ! and thank you for the help with the experience we use to protect our",219,2022-06-23,3
text219,"positive ties between us . , croatia stands for us . thank you , mr . prime minister ! and",thank you,"for the help with the experience we use to protect our freedom . , sweden stands for us . thank",219,2022-06-23,3
text219,"you for the help with the experience we use to protect our freedom . , sweden stands for us .",thank you,", mrs . prime minister ! blue and yellow truly always stand together ! , finland stands for us .",219,2022-06-23,3
text219,", mrs . prime minister ! blue and yellow truly always stand together ! , finland stands for us .",thank you,", mrs . prime minister ! your willingness to resist aggression is simply amazing ! , the netherlands stands for",219,2022-06-23,3
text219,". prime minister ! your willingness to resist aggression is simply amazing ! , the netherlands stands for us .",thank you,", mr . prime minister ! you can be sure that your choice of ukraine will definitely strengthen our common",219,2022-06-23,3
text219,"common european freedom , the rule of law and our unity in diversity . , malta stands for us .",thank you,", mr . prime minister ! the voice of your island makes the european community complete . , denmark stands",219,2022-06-23,3
text219,"prime minister ! the voice of your island makes the european community complete . , denmark stands for us .",thank you,", mrs . prime minister ! be sure that the protection of european values will only increase with ukraine .",219,2022-06-23,3
text219,"be sure that the protection of european values will only increase with ukraine . , luxembourg stands for us .",thank you,", mr . prime minister ! we truly understand each other , and your energy inspires us to future victories",219,2022-06-23,3
text219,"truly understand each other , and your energy inspires us to future victories . , cyprus stands for us .",thank you,", mr . president ! thank you for the choice in favor of our people and our values . ,",219,2022-06-23,3
text219,"energy inspires us to future victories . , cyprus stands for us . thank you , mr . president !",thank you,"for the choice in favor of our people and our values . , italy stands for us . thank you",219,2022-06-23,3
text219,"thank you for the choice in favor of our people and our values . , italy stands for us .",thank you,"very much , mr . prime minister ! thank you for your strength , for your perseverance . thank you",219,2022-06-23,3
