id,id_day,date,time,n
547,1,2023-02-01,22H 56M 0S,586
548,1,2023-02-02,16H 50M 0S,944
549,2,2023-02-02,18H 33M 0S,584
550,3,2023-02-02,21H 54M 0S,654
551,1,2023-02-03,20H 34M 0S,931
552,1,2023-02-04,20H 5M 0S,610
553,1,2023-02-05,21H 6M 0S,696
554,1,2023-02-06,21H 36M 0S,572
555,1,2023-02-07,20H 9M 0S,620
556,1,2023-02-08,19H 28M 0S,1870
557,1,2023-02-09,14H 10M 0S,1489
558,2,2023-02-09,15H 48M 0S,1630
559,1,2023-02-10,14H 27M 0S,179
560,2,2023-02-10,16H 46M 0S,796
561,3,2023-02-10,18H 55M 0S,747
562,1,2023-02-11,17H 50M 0S,523
563,1,2023-02-12,20H 44M 0S,524
564,1,2023-02-13,22H 40M 0S,1112
565,1,2023-02-14,21H 45M 0S,660
566,1,2023-02-15,23H 5M 0S,664
567,1,2023-02-16,11H 48M 0S,772
568,2,2023-02-16,22H 25M 0S,942
569,1,2023-02-17,36M 0S,911
570,2,2023-02-17,18H 46M 0S,1357
571,3,2023-02-17,19H 9M 0S,775
572,4,2023-02-17,20H 18M 0S,593
573,1,2023-02-18,21H 10M 0S,732
574,1,2023-02-19,21H 30M 0S,686
575,1,2023-02-20,9H 3M 0S,394
576,2,2023-02-20,22H 34M 0S,982
577,1,2023-02-21,23H 12M 0S,868
578,1,2023-02-22,12H 55M 0S,476
579,2,2023-02-22,22H 50M 0S,957
580,1,2023-02-24,10M 0S,529
581,2,2023-02-24,8H 3M 0S,1583
582,1,2023-02-25,12H 49M 0S,415
583,2,2023-02-25,14H 12M 0S,569
584,3,2023-02-25,20H 58M 0S,626
585,4,2023-02-25,21H 4M 0S,395
586,1,2023-02-26,19H 25M 0S,967
587,1,2023-02-27,22H 7M 0S,595
588,1,2023-02-28,17H 49M 0S,676
589,2,2023-02-28,22H 48M 0S,976
590,1,2023-03-01,21H 44M 0S,620
591,1,2023-03-02,21H 27M 0S,502
592,1,2023-03-03,20H 40M 0S,1609
593,2,2023-03-03,21H 1M 0S,767
594,1,2023-03-04,17H 29M 0S,538
595,1,2023-03-05,20H 25M 0S,665
596,1,2023-03-06,22H 26M 0S,586
597,1,2023-03-07,19H 0M 0S,458
598,1,2023-03-08,11H 59M 0S,219
599,2,2023-03-08,21H 47M 0S,589
600,1,2023-03-09,22H 54M 0S,852
601,1,2023-03-10,20H 24M 0S,770
602,2,2023-03-10,20H 54M 0S,986
603,1,2023-03-11,19H 39M 0S,563
604,1,2023-03-12,20H 11M 0S,903
605,1,2023-03-13,21H 42M 0S,621
606,1,2023-03-14,23H 37M 0S,732
607,1,2023-03-15,22H 45M 0S,880
608,1,2023-03-16,22H 3M 0S,770
609,1,2023-03-17,20H 26M 0S,745
610,1,2023-03-18,21H 24M 0S,703
611,1,2023-03-19,20H 57M 0S,688
612,1,2023-03-20,21H 36M 0S,597
613,1,2023-03-21,22H 29M 0S,788
614,1,2023-03-22,19H 51M 0S,767
615,1,2023-03-23,20H 42M 0S,1429
616,2,2023-03-23,21H 34M 0S,712
617,1,2023-03-24,20H 10M 0S,615
618,1,2023-03-25,11H 31M 0S,281
619,2,2023-03-25,21H 41M 0S,655
620,1,2023-03-26,23H 55M 0S,983
621,1,2023-03-27,22H 39M 0S,776
622,1,2023-03-28,22H 12M 0S,521
623,1,2023-03-29,21H 44M 0S,1085
624,2,2023-03-29,22H 22M 0S,600
625,1,2023-03-30,13H 20M 0S,1248
626,2,2023-03-30,21H 43M 0S,592
627,1,2023-03-31,22H 55M 0S,291
628,1,2023-04-01,20H 2M 0S,617
629,1,2023-04-02,19H 57M 0S,532
630,1,2023-04-03,22H 42M 0S,758
