doc_id,date,id,id_day,net_sentiment
text375,2022-10-09,375,1,-54
text376,2022-10-10,376,1,-1
text377,2022-10-10,377,2,-17
text378,2022-10-11,378,1,30
text379,2022-10-11,379,2,-2
text380,2022-10-11,380,3,37
text381,2022-10-12,381,1,18
text382,2022-10-12,382,2,24
text383,2022-10-13,383,1,37
text384,2022-10-13,384,2,51
text385,2022-10-14,385,1,37
text386,2022-10-14,386,2,75
text387,2022-10-15,387,1,-16
text388,2022-10-16,388,1,54
text389,2022-10-17,389,1,-7
text390,2022-10-18,390,1,31
text391,2022-10-19,391,1,46
text392,2022-10-20,392,1,-21
text393,2022-10-20,393,2,2
text394,2022-10-21,394,1,-44
text395,2022-10-21,395,2,9
text396,2022-10-22,396,1,16
text397,2022-10-23,397,1,-23
text398,2022-10-24,398,1,-12
text399,2022-10-24,399,2,25
text400,2022-10-25,400,1,41
text401,2022-10-25,401,2,10
text402,2022-10-25,402,3,59
text403,2022-10-26,403,1,-1
text404,2022-10-28,404,1,-101
text405,2022-10-28,405,2,59
text406,2022-10-29,406,1,30
text407,2022-10-29,407,2,2
text408,2022-10-30,408,1,18
text409,2022-10-31,409,1,-26
text410,2022-10-31,410,2,32
text411,2022-11-01,411,1,-3
text412,2022-11-02,412,1,3
text413,2022-11-03,413,1,39
text414,2022-11-04,414,1,54
text415,2022-11-05,415,1,13
text416,2022-11-06,416,1,-3
text417,2022-11-07,417,1,-12
text418,2022-11-08,418,1,72
text419,2022-11-08,419,2,-44
text420,2022-11-08,420,3,34
text421,2022-11-09,421,1,26
text422,2022-11-10,422,1,61
text423,2022-11-11,423,1,13
text424,2022-11-11,424,2,50
text425,2022-11-12,425,1,62
text426,2022-11-13,426,1,14
text427,2022-11-14,427,1,47
text428,2022-11-15,428,1,-71
text429,2022-11-15,429,2,-8
text430,2022-11-16,430,1,26
text431,2022-11-16,431,2,22
text432,2022-11-17,432,1,16
text433,2022-11-17,433,2,5
text434,2022-11-18,434,1,-12
text435,2022-11-18,435,2,69
text436,2022-11-19,436,1,11
text437,2022-11-19,437,2,29
text438,2022-11-20,438,1,3
text439,2022-11-20,439,2,32
text440,2022-11-21,440,1,81
text441,2022-11-21,441,2,28
text442,2022-11-21,442,3,61
text443,2022-11-22,443,1,-2
text444,2022-11-22,444,2,64
text445,2022-11-24,445,1,-45
text446,2022-11-24,446,2,6
text447,2022-11-24,447,3,25
text448,2022-11-24,448,4,10
text449,2022-11-25,449,1,49
text450,2022-11-25,450,2,24
text451,2022-11-26,451,1,-27
text452,2022-11-26,452,2,18
text453,2022-11-27,453,1,40
text454,2022-11-28,454,1,10
text455,2022-11-29,455,1,44
text456,2022-11-29,456,2,-1
text457,2022-11-30,457,1,42
text458,2022-12-01,458,1,47
text459,2022-12-02,459,1,59
text460,2022-12-03,460,1,53
text461,2022-12-04,461,1,40
text462,2022-12-05,462,1,96
text463,2022-12-05,463,2,9
text464,2022-12-06,464,1,74
text465,2022-12-07,465,1,-6
text466,2022-12-07,466,2,35
text467,2022-12-07,467,3,13
text468,2022-12-08,468,1,25
text469,2022-12-08,469,2,10
text470,2022-12-09,470,1,45
text471,2022-12-09,471,2,15
text472,2022-12-09,472,3,-14
text473,2022-12-09,473,4,23
text474,2022-12-10,474,1,58
text475,2022-12-11,475,1,37
text476,2022-12-12,476,1,148
text477,2022-12-12,477,2,28
text478,2022-12-13,478,1,13
text479,2022-12-13,479,2,62
text480,2022-12-13,480,3,57
text481,2022-12-13,481,4,-4
text482,2022-12-14,482,1,35
text483,2022-12-14,483,2,36
text484,2022-12-15,484,1,80
text485,2022-12-15,485,2,25
text486,2022-12-16,486,1,30
text487,2022-12-17,487,1,24
text488,2022-12-18,488,1,38
text489,2022-12-19,489,1,101
text490,2022-12-19,490,2,47
text491,2022-12-20,491,1,32
text492,2022-12-22,492,1,138
text493,2022-12-22,493,2,43
text494,2022-12-23,494,1,103
text495,2022-12-23,495,2,55
text496,2022-12-24,496,1,30
text497,2022-12-25,497,1,72
text498,2022-12-26,498,1,34
text499,2022-12-27,499,1,33
text500,2022-12-28,500,1,378
text501,2022-12-28,501,2,51
text502,2022-12-29,502,1,11
text503,2022-12-30,503,1,47
text504,2022-12-31,504,1,5
text505,2022-12-31,505,2,17
