id,date,sentiment,country
202,13 June 2022,12,ukraine
202,13 June 2022,3,russia
203,14 June 2022,5,ukraine
203,14 June 2022,1,russia
204,15 June 2022,5,ukraine
204,15 June 2022,5,russia
205,15 June 2022,13,ukraine
205,15 June 2022,2,russia
206,16 June 2022,14,ukraine
206,16 June 2022,-6,russia
207,17 June 2022,1,ukraine
207,17 June 2022,-9,russia
208,17 June 2022,29,ukraine
208,17 June 2022,0,russia
209,19 June 2022,6,ukraine
209,19 June 2022,-1,russia
210,19 June 2022,19,ukraine
210,19 June 2022,1,russia
211,20 June 2022,13,ukraine
211,20 June 2022,-2,russia
212,20 June 2022,2,ukraine
212,20 June 2022,-12,russia
213,20 June 2022,4,ukraine
213,20 June 2022,-2,russia
214,21 June 2022,11,ukraine
214,21 June 2022,-3,russia
215,21 June 2022,5,ukraine
215,21 June 2022,1,russia
216,21 June 2022,23,ukraine
216,21 June 2022,-7,russia
217,22 June 2022,1,ukraine
217,22 June 2022,2,russia
218,22 June 2022,15,ukraine
218,22 June 2022,0,russia
219,23 June 2022,17,ukraine
219,23 June 2022,1,russia
220,23 June 2022,10,ukraine
220,23 June 2022,-7,russia
221,23 June 2022,27,ukraine
221,23 June 2022,4,russia
222,24 June 2022,23,ukraine
222,24 June 2022,2,russia
223,24 June 2022,4,ukraine
223,24 June 2022,1,russia
224,24 June 2022,-2,ukraine
224,24 June 2022,5,russia
225,25 June 2022,3,ukraine
225,25 June 2022,1,russia
226,25 June 2022,9,ukraine
226,25 June 2022,1,russia
227,26 June 2022,4,ukraine
227,26 June 2022,4,russia
228,27 June 2022,4,ukraine
228,27 June 2022,-5,russia
229,28 June 2022,15,ukraine
229,28 June 2022,1,russia
230,29 June 2022,-4,ukraine
230,29 June 2022,-16,russia
231,29 June 2022,4,ukraine
231,29 June 2022,-14,russia
232,29 June 2022,11,ukraine
232,29 June 2022,4,russia
233,29 June 2022,18,ukraine
233,29 June 2022,-3,russia
234,30 June 2022,18,ukraine
234,30 June 2022,1,russia
235,01 July 2022,3,ukraine
235,01 July 2022,0,russia
236,01 July 2022,24,ukraine
236,01 July 2022,-2,russia
237,01 July 2022,9,ukraine
237,01 July 2022,-2,russia
238,02 July 2022,13,ukraine
238,02 July 2022,-3,russia
239,03 July 2022,13,ukraine
239,03 July 2022,-4,russia
240,04 July 2022,9,ukraine
240,04 July 2022,1,russia
241,04 July 2022,18,ukraine
241,04 July 2022,-14,russia
242,04 July 2022,12,ukraine
242,04 July 2022,2,russia
243,05 July 2022,6,ukraine
243,05 July 2022,1,russia
244,05 July 2022,3,ukraine
244,05 July 2022,-1,russia
245,06 July 2022,5,ukraine
245,06 July 2022,-6,russia
246,07 July 2022,11,ukraine
246,07 July 2022,-1,russia
247,08 July 2022,12,ukraine
247,08 July 2022,-13,russia
248,09 July 2022,12,ukraine
248,09 July 2022,1,russia
249,09 July 2022,8,ukraine
249,09 July 2022,-4,russia
250,10 July 2022,6,ukraine
250,10 July 2022,-4,russia
251,11 July 2022,7,ukraine
251,11 July 2022,-8,russia
252,12 July 2022,21,ukraine
252,12 July 2022,-1,russia
253,13 July 2022,-3,ukraine
253,13 July 2022,-20,russia
254,13 July 2022,10,ukraine
254,13 July 2022,-3,russia
255,14 July 2022,-6,ukraine
255,14 July 2022,-23,russia
256,14 July 2022,3,ukraine
256,14 July 2022,-10,russia
257,15 July 2022,3,ukraine
257,15 July 2022,-7,russia
258,16 July 2022,5,ukraine
258,16 July 2022,-3,russia
259,17 July 2022,1,ukraine
259,17 July 2022,-7,russia
260,18 July 2022,1,ukraine
260,18 July 2022,-2,russia
261,19 July 2022,13,ukraine
261,19 July 2022,-5,russia
262,20 July 2022,11,ukraine
262,20 July 2022,1,russia
263,21 July 2022,-4,ukraine
263,21 July 2022,-12,russia
264,22 July 2022,10,ukraine
264,22 July 2022,-1,russia
265,23 July 2022,9,ukraine
265,23 July 2022,1,russia
266,23 July 2022,10,ukraine
266,23 July 2022,-4,russia
267,24 July 2022,12,ukraine
268,25 July 2022,11,ukraine
268,25 July 2022,-5,russia
269,26 July 2022,19,ukraine
269,26 July 2022,1,russia
270,26 July 2022,10,ukraine
270,26 July 2022,-3,russia
271,27 July 2022,13,ukraine
271,27 July 2022,1,russia
272,28 July 2022,12,ukraine
272,28 July 2022,0,russia
273,28 July 2022,38,ukraine
273,28 July 2022,1,russia
274,28 July 2022,19,ukraine
274,28 July 2022,-3,russia
275,29 July 2022,-2,ukraine
275,29 July 2022,-9,russia
276,30 July 2022,4,ukraine
276,30 July 2022,1,russia
277,31 July 2022,12,ukraine
277,31 July 2022,4,russia
278,01 August 2022,11,ukraine
278,01 August 2022,-7,russia
279,02 August 2022,11,ukraine
279,02 August 2022,-4,russia
280,03 August 2022,4,ukraine
280,03 August 2022,-9,russia
281,03 August 2022,15,ukraine
281,03 August 2022,-1,russia
282,04 August 2022,-2,ukraine
282,04 August 2022,-7,russia
283,05 August 2022,6,ukraine
283,05 August 2022,-13,russia
284,06 August 2022,5,ukraine
284,06 August 2022,-7,russia
285,07 August 2022,6,ukraine
285,07 August 2022,-2,russia
286,08 August 2022,3,ukraine
286,08 August 2022,-12,russia
287,09 August 2022,18,ukraine
287,09 August 2022,-6,russia
288,10 August 2022,7,ukraine
288,10 August 2022,-4,russia
289,11 August 2022,6,ukraine
289,11 August 2022,-9,russia
290,11 August 2022,11,ukraine
290,11 August 2022,5,russia
291,12 August 2022,15,ukraine
291,12 August 2022,1,russia
292,13 August 2022,7,ukraine
292,13 August 2022,-6,russia
293,14 August 2022,11,ukraine
293,14 August 2022,6,russia
294,15 August 2022,2,ukraine
294,15 August 2022,-7,russia
295,16 August 2022,9,ukraine
295,16 August 2022,2,russia
296,17 August 2022,-12,ukraine
296,17 August 2022,-16,russia
297,17 August 2022,19,ukraine
297,17 August 2022,1,russia
298,18 August 2022,9,ukraine
298,18 August 2022,-5,russia
299,19 August 2022,8,ukraine
299,19 August 2022,0,russia
300,20 August 2022,20,ukraine
300,20 August 2022,-3,russia
301,22 August 2022,2,ukraine
301,22 August 2022,-5,russia
302,22 August 2022,13,ukraine
302,22 August 2022,-4,russia
303,23 August 2022,3,ukraine
303,23 August 2022,-10,russia
304,23 August 2022,29,ukraine
304,23 August 2022,-4,russia
305,24 August 2022,10,ukraine
305,24 August 2022,-1,russia
306,24 August 2022,2,ukraine
306,24 August 2022,-19,russia
307,24 August 2022,8,ukraine
307,24 August 2022,-2,russia
308,25 August 2022,-2,ukraine
308,25 August 2022,-8,russia
309,26 August 2022,11,ukraine
309,26 August 2022,-4,russia
310,27 August 2022,29,ukraine
310,27 August 2022,-1,russia
311,28 August 2022,10,ukraine
311,28 August 2022,1,russia
312,29 August 2022,0,ukraine
312,29 August 2022,-18,russia
313,29 August 2022,5,ukraine
313,29 August 2022,-5,russia
314,29 August 2022,4,ukraine
314,29 August 2022,-15,russia
315,29 August 2022,7,ukraine
315,29 August 2022,-1,russia
316,30 August 2022,3,ukraine
316,30 August 2022,1,russia
317,31 August 2022,2,ukraine
317,31 August 2022,0,russia
318,31 August 2022,7,ukraine
318,31 August 2022,-4,russia
319,01 September 2022,-1,ukraine
319,01 September 2022,-7,russia
320,01 September 2022,17,ukraine
321,01 September 2022,4,ukraine
322,01 September 2022,11,ukraine
322,01 September 2022,-8,russia
323,02 September 2022,14,ukraine
323,02 September 2022,-2,russia
324,02 September 2022,19,ukraine
324,02 September 2022,-4,russia
325,03 September 2022,0,ukraine
325,03 September 2022,-4,russia
326,04 September 2022,7,ukraine
326,04 September 2022,-3,russia
327,05 September 2022,14,ukraine
327,05 September 2022,-6,russia
328,06 September 2022,16,ukraine
328,06 September 2022,-2,russia
329,06 September 2022,20,ukraine
329,06 September 2022,2,russia
330,07 September 2022,20,ukraine
330,07 September 2022,-5,russia
331,08 September 2022,11,ukraine
331,08 September 2022,-5,russia
332,09 September 2022,4,ukraine
332,09 September 2022,0,russia
333,10 September 2022,19,ukraine
333,10 September 2022,-1,russia
334,10 September 2022,15,ukraine
334,10 September 2022,-9,russia
335,11 September 2022,13,ukraine
336,12 September 2022,-1,ukraine
336,12 September 2022,-13,russia
337,13 September 2022,12,ukraine
337,13 September 2022,4,russia
