docname,pre,keyword,post,id,date,id_day
text603,"defense intelligence shaman unit – for bakhmut , for their strong participation in the defense of the city . ,",thank you,"to the soldiers of the 44th separate artillery brigade , who are fighting near zaporizhzhia . skillfully destroy enemy positions",603,2023-03-10,1
text603,"of the 44th separate artillery brigade , who are fighting near zaporizhzhia . skillfully destroy enemy positions and equipment .",thank you,"guys for this ! , today , i signed another decree on honoring our soldiers with state awards . in",603,2023-03-10,1
text604,", ladies and gentlemen ! americans ! , this is a great opportunity to talk to you .",thank you,"! , i am going to tell you a story about two destinies – about two of our soldiers ,",604,2023-03-10,2
text604,"life they dream of . god forbid that this should be the way of such a war . , i",thank you,"for your attention ! thank you very much for your support ! , thank you to all americans who dream",604,2023-03-10,2
text604,"forbid that this should be the way of such a war . , i thank you for your attention !",thank you,"very much for your support ! , thank you to all americans who dream with us that evil has no",604,2023-03-10,2
text604,"a war . , i thank you for your attention ! thank you very much for your support ! ,",thank you,to all americans who dream with us that evil has no chance ! i met with representatives of both parties,604,2023-03-10,2
text604,"to all who are now fighting for freedom ! glory to everyone who helps ! , слава україні ! ,",thank you,so much !,604,2023-03-10,2
text605,"air defense in chernihiv region , fighters of the 2nd separate regiment of the national guard in sumy region –",thank you,", guys ! , thanks to all our fighters in the south , who are destroying the warehouses , logistics",605,2023-03-11,1
text605,"airmobile brigade operating in donbas . well done , guys ! , thanks to everyone who helps our units !",thank you,to everyone who supports our civilians in the frontline and border areas ! thank you to everyone who is convincing,605,2023-03-11,1
text605,who helps our units ! thank you to everyone who supports our civilians in the frontline and border areas !,thank you,"to everyone who is convincing the world that it is necessary to show more determination right now ! now ,",605,2023-03-11,1
text606,", donetsk region . major herman starcheus , captain serhiy kulinchenko , junior sergeants roman dychko and kyrylo sayenko .",thank you,"guys for your excellent work and courage ! , of course , i am grateful to all our warriors from",606,2023-03-12,1
text606,"- the paratroopers ! , and also the zaporizhzhia direction of tavria - the 128th separate mountain assault brigade .",thank you,"all , guys ! , i am grateful to each and every one who again helped our soldiers this week",606,2023-03-12,1
text607,"is being fought for . , i am grateful to each and every one who is now in combat !",thank you,to everyone who defends their positions and fights for ukraine and brothers-in-arms ! thank you to everyone who never lets,607,2023-03-13,1
text607,is now in combat ! thank you to everyone who defends their positions and fights for ukraine and brothers-in-arms !,thank you,"to everyone who never lets down those who are next to them on the frontline ! , today , i",607,2023-03-13,1
text607,to commend the warriors of the 92nd separate mechanized brigade for their successful actions in the area of bakhmut .,thank you,", guys ! , glory to all ukrainian warriors ! , glory to our unbreakable and beautiful people ! ,",607,2023-03-13,1
text608,"chevron from the guys , which was handed over at the ceremony . it is an honor for me .",thank you,". , i held a meeting of the staff . there were reports from the commander-in-chief , intelligence , and",608,2023-03-14,1
text609,"about any of the directions of state defense . , the 54th and 92nd separate mechanized brigades - guys ,",thank you,"for your resilience and strength in bakhmut . , the 3rd operational brigade of the national guard and our border",609,2023-03-15,1
text609,"guards , who are fighting for bakhmut together with all units of the defense and security forces . . .",thank you,", warriors ! , thank you for your courage and for replenishing our exchange fund . , the 15th separate",609,2023-03-15,1
text609,"bakhmut together with all units of the defense and security forces . . . thank you , warriors ! ,",thank you,"for your courage and for replenishing our exchange fund . , the 15th separate regiment and the 1st presidential operational",609,2023-03-15,1
text609,"exchange fund . , the 15th separate regiment and the 1st presidential operational brigade of the national guard - i",thank you,"for your results in the battles for the cities of donetsk region ! , the border guards of kharkiv region",609,2023-03-15,1
text609,"your results in the battles for the cities of donetsk region ! , the border guards of kharkiv region -",thank you,"for your strong counteraction to the enemy ! , the 406th separate artillery brigade and the 131st separate reconnaissance battalion",609,2023-03-15,1
text609,"your strong counteraction to the enemy ! , the 406th separate artillery brigade and the 131st separate reconnaissance battalion -",thank you,", warriors , for the defense of kherson region ! thank you for your powerful responses to enemy strikes at",609,2023-03-15,1
text609,"brigade and the 131st separate reconnaissance battalion - thank you , warriors , for the defense of kherson region !",thank you,"for your powerful responses to enemy strikes at ukrainian cities . , the occupier must be destroyed . thank you",609,2023-03-15,1
text609,"thank you for your powerful responses to enemy strikes at ukrainian cities . , the occupier must be destroyed .",thank you,to everyone who makes this possible ! glory to each and every one who is now in combat ! glory,609,2023-03-15,1
text610,79th brigade - i am thankful to you today as well ! the 35th and 36th separate marine brigades -,thank you,guys ! warriors of the 55th separate artillery brigade - well done ! the 74th separate reconnaissance battalion - thank,610,2023-03-16,1
text610,you guys ! warriors of the 55th separate artillery brigade - well done ! the 74th separate reconnaissance battalion -,thank you,! i thank the warriors of the national guard who are fighting in the east together with all our defense,610,2023-03-16,1
text610,our defense forces . battalion groups of the central and western operational and territorial units of the national guard -,thank you,", guys ! zaporizhzhia direction : the 128th separate mountain assault brigade and the 44th separate artillery brigade - as",610,2023-03-16,1
text610,"iron brigade , the 1st separate bohun special forces brigade , the 127th separate brigade of the territorial defense -",thank you,", warriors ! , glory to each and every one who is now fighting for ukraine ! , i am",610,2023-03-16,1
text611,"everyone who acts on the front line , everyone who maintains a real defense with their endurance and courage .",thank you,"for resilience , for strength and for the fact that the state sees a prospect for our defense operations ,",611,2023-03-17,1
text611,"attention to the fighters of our special units . , special operations forces – 8th separate special forces regiment ,",thank you,guys for the filigree destruction of the enemy near bakhmut and the powerful reinforcement of our defenses in this direction,611,2023-03-17,1
text611,"of the enemy near bakhmut and the powerful reinforcement of our defenses in this direction , in bakhmut . ,",thank you,"to all our special operations forces fighters who defend luhansk region . , special gratitude goes to our navy seals",611,2023-03-17,1
text611,", for the powerful response we give to the occupier to its attacks on our forces and cities . ,",thank you,"to the soldiers of the security service of ukraine . to all our defenders from the alpha unit , in",611,2023-03-17,1
text611,"unit , in particular from the white wolf and kusto groups . the 13th directorate of ssu military counterintelligence –",thank you,"all ! , thank you to the soldiers of the defense intelligence of the ministry of defense – every soldier",611,2023-03-17,1
text611,"the white wolf and kusto groups . the 13th directorate of ssu military counterintelligence – thank you all ! ,",thank you,"to the soldiers of the defense intelligence of the ministry of defense – every soldier , every unit . i",611,2023-03-17,1
text612,"ammunition and accouterments , tanks and artillery . there is a much-needed solution to the archer systems – sweden ,",thank you,"very much . the decision on mig fighters – slovakia , thank you very much . poland , lithuania ,",612,2023-03-18,1
text612,"to the archer systems – sweden , thank you very much . the decision on mig fighters – slovakia ,",thank you,"very much . poland , lithuania , the uk , the european union , the united states , and many",612,2023-03-18,1
text612,", glory to all our soldiers who are now in battle ! , glory to everyone who helps ! ,",thank you,"to everyone who trains our soldiers , who treats injuries , who volunteers , and who supports the fighting spirit",612,2023-03-18,1
text613,"who have been working in kherson region for almost six months in a row , returning security to ukrainians .",thank you,"! , i am grateful to roman radavchuk from kyiv region , who works in mykolaiv region , demining energy",613,2023-03-19,1
text614,". all those who are fighting for our country . , the 56th and 57th separate motorized infantry brigades -",thank you,"guys ! thank you for your strength and resilience in the defense of bakhmut ! , the warriors of the",614,2023-03-20,1
